PT,TM,CPG,CPHL,CPWT,DROGDP,DROGDT,DROHLDP,DROHLDT,DROWTDP,DROWTDT,HG,HHL,HWT,ROG,ROHL,ROWT,RS,RSW,SEG,SEHL,SEWT,SIGGHL,SIGGWT,SIGHLWT,TCG,TCHL,TCWT,VISG,VISHL,VISWT
17230000.0,186.7,2925.15931,2699.2759,4674.35703,5.33786e-06,-0.27817162,2.85939e-06,-0.80667973,6.37844e-07,-1.085888,283026.963,98476.003,-1736725.0,96.4026046,704.052514,901.293268,0.0,0.011782587,-982.89026,430.323831,-4766.8491,0.000898398,0.044928549,0.044030152,0.070820188,0.135919515,0.65595083,1.99164e-05,0.000754754,0.000160537
17640000.0,186.7,2931.39434,2698.19783,4671.90584,5.30999e-06,-0.28469784,2.81561e-06,-0.79978127,6.36329e-07,-1.0833001,281649.834,98752.8605,-1736521.8,98.5854371,705.215847,901.554473,0.0,0.011782587,-995.03041,429.660564,-4767.3964,0.000898398,0.044928549,0.044030152,0.071238377,0.136351216,0.656428658,2.00421e-05,0.000760888,0.000160638
18050000.0,186.7,2937.46823,2697.14772,4669.46604,5.28147e-06,-0.29114242,2.77304e-06,-0.79304457,6.3482e-07,-1.0807228,280298.967,99032.3435,-1736318.0,100.756707,706.36148,901.815059,0.0,0.011782587,-1006.9137,429.005075,-4767.942,0.000898398,0.044928549,0.044030152,0.071656485,0.136778178,0.656905857,2.0169e-05,0.000767015,0.000160739
18460000.0,186.7,2943.38219,2696.12445,4667.03756,5.25234e-06,-0.29750242,2.73162e-06,-0.78646348,6.33319e-07,-1.078156,278974.144,99314.373,-1736113.6,102.916157,707.489897,902.075027,0.0,0.011782587,-1018.5501,428.357156,-4768.4861,0.000898398,0.044928549,0.044030152,0.072074285,0.137200508,0.657382431,2.02969e-05,0.000773134,0.000160839
18870000.0,186.7,2949.13759,2695.12694,4664.62029,5.22264e-06,-0.30377518,2.69132e-06,-0.78003215,6.31826e-07,-1.0755995,277675.138,99598.8737,-1735908.6,105.063546,708.601562,902.334382,0.0,0.011782587,-1029.949,427.716606,-4769.0285,0.000898398,0.044928549,0.044030152,0.072491562,0.13761831,0.657858382,2.04258e-05,0.000779246,0.000160939
19280000.0,186.7,2954.736,2694.1542,4662.21416,5.19242e-06,-0.30995823,2.65208e-06,-0.77374506,6.30339e-07,-1.0730534,276401.711,99885.7732,-1735703.0,107.19865,709.696922,902.593125,0.0,0.011782587,-1041.1193,427.083232,-4769.5693,0.000898398,0.044928549,0.044030152,0.072908116,0.138031684,0.658333712,2.05557e-05,0.00078535,0.000161038
19690000.0,186.7,2960.17912,2693.20527,4659.8191,5.1617e-06,-0.31604938,2.61386e-06,-0.76759697,6.2886e-07,-1.0705176,275153.618,100175.002,-1735496.8,109.321262,710.776405,902.851261,0.0,0.011782587,-1052.0693,426.456849,-4770.1086,0.000898398,0.044928549,0.044030152,0.073323759,0.138440724,0.658808424,2.06866e-05,0.000791447,0.000161137
20100000.0,186.7,2965.46881,2692.27925,4657.435,5.13054e-06,-0.32204665,2.57663e-06,-0.76158287,6.27387e-07,-1.0679919,273930.605,100466.495,-1735290.0,111.431186,711.840422,903.108791,0.0,0.011782587,-1062.8069,425.83728,-4770.6462,0.000898398,0.044928549,0.044030152,0.073738315,0.138845525,0.659282521,2.08184e-05,0.000797537,0.000161235
10000.0,192.8,2382.97332,2658.8703,4836.7187,2.02433e-05,-0.00043571,2.51647e-06,-0.70479953,7.57269e-07,-1.2643444,341323.771,106437.898,-1715302.2,0.202163142,835.954851,882.188956,0.331739989,0.002241496,1383.19854,563.097793,-4678.8708,0.018682333,0.043315018,0.024632685,0.040839083,0.214076383,0.629915621,1.19047e-05,0.002511583,0.00015037
420000.0,192.8,2410.24365,2699.32449,4833.39854,1.03024e-05,-0.00957935,3.07226e-06,-0.80068832,7.55154e-07,-1.260968,341714.377,97450.5855,-1715147.4,4.27660333,771.71314,882.499002,0.115231765,0.006314871,928.896353,551.568547,-4679.5357,0.014925505,0.043315018,0.028389513,0.053355225,0.164047437,0.630445623,1.49936e-05,0.001132502,0.000150497
