,Volumetric flow rate (m3/h)
2021-05-10 01:57:32.327,44054.24609375
2021-05-10 01:57:42.326,43679.3203125
2021-05-10 01:57:52.264,43051.2734375
2021-05-10 01:58:03.639,43835.1796875
2021-05-10 01:58:13.603,43671.96875
2021-05-10 01:58:23.564,43326.453125
2021-05-10 01:58:33.508,43085.84765625
2021-05-10 01:58:43.469,43478.95703125
2021-05-10 01:58:53.427,43095.58984375
2021-05-10 01:59:04.413,43701.27734375
2021-05-10 01:59:13.425,43484.32421875
2021-05-10 01:59:24.340,43496.33203125
2021-05-10 01:59:34.358,42544.37890625
2021-05-10 01:59:44.351,43365.234375
2021-05-10 01:59:54.270,43767.04296875
2021-05-10 02:00:05.660,43772.828125
2021-05-10 02:00:15.626,42966.27734375
2021-05-10 02:00:25.577,43141.33984375
2021-05-10 02:00:35.547,43068.45703125
2021-05-10 02:00:45.508,42824.91015625
2021-05-10 02:00:56.454,42974.80078125
2021-05-10 02:01:06.434,43439.18359375
2021-05-10 02:01:16.435,43329.2109375
2021-05-10 02:01:26.401,44303.76171875
2021-05-10 02:01:36.343,43645.83203125
2021-05-10 02:01:46.336,43401.22265625
2021-05-10 02:01:56.333,43794.9296875
2021-05-10 02:02:07.264,43796.60546875
2021-05-10 02:02:17.639,43277.29296875
2021-05-10 02:02:27.589,43676.765625
2021-05-10 02:02:37.559,43612.6015625
2021-05-10 02:02:47.509,44323.890625
2021-05-10 02:02:57.467,43615.3671875
2021-05-10 02:03:08.429,43513.69140625
2021-05-10 02:03:18.473,44048.5703125
2021-05-10 02:03:28.432,44220.37109375
2021-05-10 02:03:38.421,43373.54296875
2021-05-10 02:03:48.450,43971.14453125
2021-05-10 02:03:59.411,43886.38671875
2021-05-10 02:04:09.348,43746.29296875
2021-05-10 02:04:19.339,43920.36328125
2021-05-10 02:04:29.270,43786.48828125
2021-05-10 02:04:39.267,43362.9375
2021-05-10 02:04:49.680,43540.8828125
2021-05-10 02:05:00.626,43487.1640625
